Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,36,2,Some Random Commen with Id 0
1,0,7,57,6,Some Random Commen with Id 1
2,0,7,24,1,Some Random Commen with Id 2
3,0,7,18,2,Some Random Commen with Id 3
4,0,7,160,9,Some Random Commen with Id 4
5,0,7,31,0,Some Random Commen with Id 5
6,0,7,147,7,Some Random Commen with Id 6
7,0,7,107,0,Some Random Commen with Id 7
8,1,5,44,0,Some Random Commen with Id 8
9,1,5,189,5,Some Random Commen with Id 9
10,1,5,92,8,Some Random Commen with Id 10
11,1,5,28,9,Some Random Commen with Id 11
12,1,5,129,0,Some Random Commen with Id 12
13,1,5,17,3,Some Random Commen with Id 13
14,1,5,86,7,Some Random Commen with Id 14
15,2,4,39,1,Some Random Commen with Id 15
16,2,4,13,1,Some Random Commen with Id 16
17,2,4,164,5,Some Random Commen with Id 17
18,2,4,189,4,Some Random Commen with Id 18
19,2,4,133,9,Some Random Commen with Id 19
20,2,4,144,1,Some Random Commen with Id 20
21,3,4,125,1,Some Random Commen with Id 21
22,3,4,79,8,Some Random Commen with Id 22
23,3,4,11,4,Some Random Commen with Id 23
24,3,4,180,9,Some Random Commen with Id 24
25,3,4,140,6,Some Random Commen with Id 25
26,3,4,24,8,Some Random Commen with Id 26
27,3,4,144,3,Some Random Commen with Id 27
28,3,4,32,1,Some Random Commen with Id 28
29,4,8,121,3,Some Random Commen with Id 29
30,4,8,125,1,Some Random Commen with Id 30
31,4,8,2,6,Some Random Commen with Id 31
32,4,8,185,5,Some Random Commen with Id 32
33,5,7,74,4,Some Random Commen with Id 33
34,5,7,105,1,Some Random Commen with Id 34
35,5,7,198,0,Some Random Commen with Id 35
36,5,7,8,4,Some Random Commen with Id 36
37,5,7,78,3,Some Random Commen with Id 37
38,5,7,122,8,Some Random Commen with Id 38
39,6,9,93,5,Some Random Commen with Id 39
40,6,9,125,3,Some Random Commen with Id 40
41,6,9,153,6,Some Random Commen with Id 41
42,6,9,108,9,Some Random Commen with Id 42
43,6,9,154,9,Some Random Commen with Id 43
44,6,9,108,1,Some Random Commen with Id 44
45,6,9,81,2,Some Random Commen with Id 45
46,6,9,9,3,Some Random Commen with Id 46
47,6,9,1,5,Some Random Commen with Id 47
48,8,5,59,6,Some Random Commen with Id 48
49,8,5,82,9,Some Random Commen with Id 49
50,8,5,89,2,Some Random Commen with Id 50
51,8,5,42,1,Some Random Commen with Id 51
52,8,5,196,9,Some Random Commen with Id 52
53,8,5,86,7,Some Random Commen with Id 53
54,8,5,172,1,Some Random Commen with Id 54
55,8,5,181,9,Some Random Commen with Id 55
56,9,5,142,7,Some Random Commen with Id 56
57,9,5,118,8,Some Random Commen with Id 57
58,10,7,151,3,Some Random Commen with Id 58
59,10,7,136,2,Some Random Commen with Id 59
60,11,4,66,7,Some Random Commen with Id 60
61,11,4,168,4,Some Random Commen with Id 61
62,11,4,170,6,Some Random Commen with Id 62
63,11,4,82,8,Some Random Commen with Id 63
64,11,4,192,8,Some Random Commen with Id 64
65,11,4,12,2,Some Random Commen with Id 65
66,11,4,197,0,Some Random Commen with Id 66
67,11,4,144,9,Some Random Commen with Id 67
68,11,4,121,8,Some Random Commen with Id 68
69,12,4,34,9,Some Random Commen with Id 69
70,12,4,78,6,Some Random Commen with Id 70
71,12,4,134,0,Some Random Commen with Id 71
72,12,4,74,6,Some Random Commen with Id 72
73,12,4,8,3,Some Random Commen with Id 73
74,12,4,140,4,Some Random Commen with Id 74
75,12,4,158,1,Some Random Commen with Id 75
76,12,4,17,3,Some Random Commen with Id 76
77,12,4,27,4,Some Random Commen with Id 77
78,13,5,160,6,Some Random Commen with Id 78
79,13,5,161,5,Some Random Commen with Id 79
80,13,5,110,7,Some Random Commen with Id 80
81,13,5,142,5,Some Random Commen with Id 81
82,13,5,183,0,Some Random Commen with Id 82
83,14,5,178,6,Some Random Commen with Id 83
84,14,5,50,5,Some Random Commen with Id 84
85,14,5,164,9,Some Random Commen with Id 85
86,15,9,52,8,Some Random Commen with Id 86
87,15,9,133,9,Some Random Commen with Id 87
88,15,9,143,2,Some Random Commen with Id 88
89,15,9,179,3,Some Random Commen with Id 89
90,15,9,34,2,Some Random Commen with Id 90
91,16,3,47,6,Some Random Commen with Id 91
92,17,0,158,0,Some Random Commen with Id 92
93,17,0,186,4,Some Random Commen with Id 93
94,17,0,60,6,Some Random Commen with Id 94
95,17,0,180,4,Some Random Commen with Id 95
96,17,0,49,7,Some Random Commen with Id 96
97,18,4,83,8,Some Random Commen with Id 97
98,19,5,120,8,Some Random Commen with Id 98
99,19,5,165,6,Some Random Commen with Id 99
100,19,5,25,4,Some Random Commen with Id 100
101,19,5,97,9,Some Random Commen with Id 101
102,20,3,184,3,Some Random Commen with Id 102
103,20,3,55,4,Some Random Commen with Id 103
104,20,3,11,4,Some Random Commen with Id 104
105,20,3,0,5,Some Random Commen with Id 105
106,20,3,176,7,Some Random Commen with Id 106
107,20,3,52,6,Some Random Commen with Id 107
108,21,2,164,6,Some Random Commen with Id 108
109,21,2,152,2,Some Random Commen with Id 109
110,21,2,174,4,Some Random Commen with Id 110
111,21,2,179,7,Some Random Commen with Id 111
112,21,2,98,3,Some Random Commen with Id 112
113,21,2,145,3,Some Random Commen with Id 113
114,21,2,89,7,Some Random Commen with Id 114
115,23,7,76,7,Some Random Commen with Id 115
116,24,1,168,5,Some Random Commen with Id 116
117,24,1,57,6,Some Random Commen with Id 117
118,24,1,19,4,Some Random Commen with Id 118
119,25,7,74,5,Some Random Commen with Id 119
120,25,7,102,6,Some Random Commen with Id 120
121,25,7,188,1,Some Random Commen with Id 121
122,25,7,128,4,Some Random Commen with Id 122
123,25,7,99,3,Some Random Commen with Id 123
124,26,5,117,3,Some Random Commen with Id 124
125,26,5,73,5,Some Random Commen with Id 125
126,26,5,18,2,Some Random Commen with Id 126
127,27,4,192,3,Some Random Commen with Id 127
128,27,4,85,4,Some Random Commen with Id 128
129,27,4,163,3,Some Random Commen with Id 129
130,27,4,181,5,Some Random Commen with Id 130
131,27,4,184,1,Some Random Commen with Id 131
132,27,4,166,2,Some Random Commen with Id 132
133,27,4,16,7,Some Random Commen with Id 133
134,28,0,74,7,Some Random Commen with Id 134
135,29,5,17,9,Some Random Commen with Id 135
136,29,5,138,5,Some Random Commen with Id 136
137,29,5,29,8,Some Random Commen with Id 137
138,29,5,126,7,Some Random Commen with Id 138
139,29,5,149,6,Some Random Commen with Id 139
140,29,5,77,2,Some Random Commen with Id 140
141,29,5,138,4,Some Random Commen with Id 141
142,30,9,14,9,Some Random Commen with Id 142
143,30,9,23,2,Some Random Commen with Id 143
144,30,9,35,6,Some Random Commen with Id 144
145,30,9,143,2,Some Random Commen with Id 145
146,30,9,121,2,Some Random Commen with Id 146
147,30,9,185,1,Some Random Commen with Id 147
148,31,5,126,7,Some Random Commen with Id 148
149,31,5,195,4,Some Random Commen with Id 149
150,31,5,192,6,Some Random Commen with Id 150
151,31,5,148,6,Some Random Commen with Id 151
152,31,5,85,5,Some Random Commen with Id 152
153,31,5,52,9,Some Random Commen with Id 153
154,31,5,12,2,Some Random Commen with Id 154
155,31,5,188,8,Some Random Commen with Id 155
156,32,1,199,7,Some Random Commen with Id 156
157,32,1,35,7,Some Random Commen with Id 157
158,32,1,88,5,Some Random Commen with Id 158
159,32,1,75,0,Some Random Commen with Id 159
160,33,2,114,4,Some Random Commen with Id 160
161,33,2,119,4,Some Random Commen with Id 161
162,33,2,97,9,Some Random Commen with Id 162
163,33,2,140,3,Some Random Commen with Id 163
164,34,8,199,6,Some Random Commen with Id 164
165,34,8,56,0,Some Random Commen with Id 165
166,34,8,108,1,Some Random Commen with Id 166
167,34,8,0,8,Some Random Commen with Id 167
168,34,8,186,9,Some Random Commen with Id 168
169,34,8,162,5,Some Random Commen with Id 169
170,34,8,105,5,Some Random Commen with Id 170
171,34,8,182,9,Some Random Commen with Id 171
172,35,5,119,0,Some Random Commen with Id 172
173,35,5,41,5,Some Random Commen with Id 173
174,35,5,2,9,Some Random Commen with Id 174
175,35,5,102,9,Some Random Commen with Id 175
176,35,5,147,4,Some Random Commen with Id 176
177,35,5,56,4,Some Random Commen with Id 177
178,35,5,151,6,Some Random Commen with Id 178
179,37,0,55,1,Some Random Commen with Id 179
180,37,0,29,8,Some Random Commen with Id 180
181,37,0,170,1,Some Random Commen with Id 181
182,38,0,153,2,Some Random Commen with Id 182
183,39,8,55,7,Some Random Commen with Id 183
184,39,8,197,1,Some Random Commen with Id 184
